Encoding,Dataset,Decoding Time
TS_2DIFF,TY-Transport,6.020986830883922
Elf,TY-Transport,20.239603101486047
TS_2DIFF+BOS-O,TY-Transport,23.09065984609283
RLE+FASTPFOR,TY-Transport,18.86455560194752
RLE+NEWPFOR,TY-Transport,18.18729211480163
RLE+OPTPFOR,TY-Transport,18.483199367776514
RLE+PFOR,TY-Transport,19.234885056627952
SPRINTZ+FASTPFOR,TY-Transport,23.47944983475191
SPRINTZ+NEWPFOR,TY-Transport,23.762531752019633
SPRINTZ+OPTPFOR,TY-Transport,23.90734266675927
SPRINTZ+PFOR,TY-Transport,24.652892399689144
TS_2DIFF+FASTPFOR,TY-Transport,24.133371597261686
TS_2DIFF+NEWPFOR,TY-Transport,16.785975110823852
TS_2DIFF+OPTPFOR,TY-Transport,16.032579250414948
TS_2DIFF+PFOR,TY-Transport,16.783917211194783
SPRINTZ+BOS-O,TY-Transport,20.324287018314386
RLE+BOS-O,TY-Transport,16.405328519359507
TS_2DIFF+BOS-A,TY-Transport,100.7091381324048
RLE+BOS-A,TY-Transport,22.90632635258972
SPRINTZ+BOS-A,TY-Transport,31.053492475458064
TS_2DIFF+BWS,TY-Transport,15.344517986397957
RLE+BWS,TY-Transport,16.69513871408743
SPRINTZ+BWS,TY-Transport,16.45475863801602
TS_2DIFF+BOS-P,TY-Transport,19.77991568543773
SPRINTZ+BOS-P,TY-Transport,19.830348475957347
RLE+BOS-P,TY-Transport,16.258645510604467
BUFF,YZ-Electricity,0.4607697635302266
CHIMP,YZ-Electricity,0.1575145938458494
GORILLA,YZ-Electricity,0.07321658256653804
PLAIN,YZ-Electricity,5.512812901949144
RLBE,YZ-Electricity,27.842584347481942
RLE,YZ-Electricity,6.776293657860888
SPRINTZ,YZ-Electricity,18.31582071831404
TS_2DIFF,YZ-Electricity,6.9480558029088755
Elf,YZ-Electricity,76.4906015037594
TS_2DIFF+BOS-O,YZ-Electricity,16.49342040170179
RLE+FASTPFOR,YZ-Electricity,17.64865934500841
RLE+NEWPFOR,YZ-Electricity,22.49678440684674
RLE+OPTPFOR,YZ-Electricity,17.07974671020085
RLE+PFOR,YZ-Electricity,16.547937073315524
SPRINTZ+FASTPFOR,YZ-Electricity,28.857920253289798
SPRINTZ+NEWPFOR,YZ-Electricity,25.823686553873554
